timestamp,left_temp,left_vel,left_deg,right_temp,right_vel,right_deg,rotation_deg,autonSelector_deg,hTracker_deg,imu_heading,mfl_temp,mfl_vel,mfl_deg,mml_temp,mml_vel,mml_deg,mbl_temp,mbl_vel,mbl_deg,mfr_temp,mfr_vel,mfr_deg,mmr_temp,mmr_vel,mmr_deg,mbr_temp,mbr_vel,mbr_deg,imu_rotation,imu_pitch,imu_roll
8403,40.000000,28.333333,-0.681111,40.000000,4.333333,-3.302222,-1.991667,196.960000,21474836.470000,92.691506,40.000000,-0.000000,-0.686667,40.000000,9.400000,-0.683333,40.000000,75.600000,-0.673333,40.000000,13.000000,-3.300000,40.000000,-0.000000,-3.296667,40.000000,0.000000,-3.310000,92.691506,0.375798,5.198089
8511,40.000000,142.066667,-0.528889,40.000000,-82.333333,-3.382222,-1.975000,196.960000,21474836.470000,93.776017,40.000000,142.400000,-0.570000,40.000000,111.400000,-0.516667,40.000000,172.400000,-0.500000,40.000000,-112.400000,-3.380000,40.000000,-75.400000,-3.380000,40.000000,-59.200000,-3.386667,93.776017,0.155240,5.171689
8622,40.000000,150.200000,-0.274444,40.000000,-100.200000,-3.692222,-1.988333,196.960000,21474836.470000,103.139070,40.000000,99.200000,-0.290000,40.000000,156.000000,-0.270000,40.000000,195.400000,-0.263333,40.000000,-102.800000,-3.686667,40.000000,-109.000000,-3.693333,40.000000,-88.800000,-3.696667,103.139070,-1.175135,4.411635
8730,40.000000,188.133333,-0.005556,40.000000,-81.533333,-3.813333,-1.993333,196.960000,21474836.470000,117.467354,40.000000,206.800000,-0.176667,40.000000,203.800000,0.076667,40.000000,153.800000,0.083333,40.000000,-87.800000,-3.813333,40.000000,-60.600000,-3.816667,40.000000,-96.200000,-3.810000,117.467354,-3.248292,3.778501
8842,40.000000,217.533333,0.246667,40.000000,-58.800000,-3.924444,-2.050000,196.960000,21474836.470000,132.566828,40.000000,206.800000,-0.176667,40.000000,222.800000,0.456667,40.000000,223.000000,0.460000,40.000000,-61.400000,-3.923333,40.000000,-54.000000,-3.926667,40.000000,-61.000000,-3.923333,132.566828,-4.919783,3.207189
8953,40.000000,209.266667,0.514444,40.000000,-42.666667,-4.042222,-2.106667,196.960000,21474836.470000,150.290487,40.000000,206.800000,-0.176667,40.000000,212.800000,0.856667,40.000000,208.200000,0.863333,40.000000,-44.000000,-4.046667,40.000000,-39.800000,-4.043333,40.000000,-44.200000,-4.036667,150.290487,-6.064226,2.569259
9061,40.000000,162.733333,1.242222,40.000000,-22.133333,-4.085556,-1.426667,196.960000,21474836.470000,168.008491,40.000000,101.600000,1.260000,40.000000,190.600000,1.236667,40.000000,196.000000,1.230000,40.000000,-21.000000,-4.090000,40.000000,-23.200000,-4.083333,40.000000,-22.200000,-4.083333,168.008491,-6.349476,1.597827
9173,40.000000,84.600000,1.436667,40.000000,-10.800000,-4.090000,-1.326667,196.960000,21474836.470000,178.328966,40.000000,84.400000,1.433333,40.000000,86.000000,1.436667,40.000000,83.400000,1.440000,40.000000,-10.200000,-4.093333,40.000000,-8.600000,-4.090000,40.000000,-13.600000,-4.086667,178.328966,-6.327588,1.820904
9284,40.000000,37.400000,1.532222,40.000000,6.333333,-4.087778,-1.281667,196.870000,21474836.470000,182.045205,40.000000,32.400000,1.523333,40.000000,39.000000,1.533333,40.000000,40.800000,1.540000,40.000000,8.800000,-4.090000,40.000000,10.200000,-4.086667,40.000000,0.000000,-4.086667,182.045205,-5.430321,2.107457
9392,40.000000,20.133333,1.548889,40.000000,3.133333,-4.086667,-1.273333,196.870000,21474836.470000,182.490543,40.000000,19.600000,1.540000,40.000000,22.600000,1.550000,40.000000,18.200000,1.556667,40.000000,9.400000,-4.086667,40.000000,-0.000000,-4.086667,40.000000,0.000000,-4.086667,182.490543,-4.649246,2.691037
9504,40.000000,209.666667,0.185556,40.000000,67.666667,0.140000,0.171667,196.870000,21474836.470000,182.181254,40.000000,279.600000,0.183333,40.000000,231.200000,0.186667,40.000000,118.200000,0.186667,40.000000,84.200000,0.160000,40.000000,67.000000,0.150000,40.000000,51.800000,0.110000,182.181254,-3.901657,2.036164
9612,40.000000,264.533333,0.601111,40.000000,230.933333,0.435556,0.521667,196.870000,21474836.470000,182.955432,40.000000,247.200000,0.603333,40.000000,259.600000,0.596667,40.000000,286.800000,0.603333,40.000000,235.000000,0.446667,40.000000,234.800000,0.443333,40.000000,223.000000,0.416667,182.955432,-3.687963,0.630745
9723,40.000000,345.933333,1.208889,40.000000,345.466667,1.010000,1.108333,196.870000,21474836.470000,183.469593,40.000000,358.400000,1.206667,40.000000,334.400000,1.203333,40.000000,345.000000,1.216667,40.000000,343.800000,1.013333,40.000000,340.400000,1.013333,40.000000,352.200000,1.003333,183.469593,-3.084457,-0.072341
9835,40.000000,439.066667,1.946667,40.000000,418.933333,1.717778,1.830000,196.870000,21474836.470000,184.576768,40.000000,451.200000,1.946667,40.000000,430.600000,1.940000,40.000000,435.400000,1.953333,40.000000,417.800000,1.720000,40.000000,417.000000,1.720000,40.000000,422.000000,1.713333,184.576768,-2.579728,-0.840236
9943,40.000000,475.333333,2.776667,40.000000,467.666667,2.522222,2.646667,196.870000,21474836.470000,185.518362,40.000000,476.000000,2.783333,40.000000,484.000000,2.766667,40.000000,466.000000,2.780000,40.000000,482.400000,2.523333,40.000000,462.600000,2.526667,40.000000,458.000000,2.516667,185.518362,-2.229942,-0.957315
10054,40.000000,497.133333,3.656667,40.000000,493.333333,3.386667,3.520000,196.870000,21474836.470000,185.959280,40.000000,504.400000,3.663333,40.000000,493.800000,3.646667,40.000000,493.200000,3.660000,40.000000,498.200000,3.393333,40.000000,500.200000,3.393333,40.000000,481.600000,3.373333,185.959280,-1.923753,-0.808773
10166,40.000000,520.933333,4.595556,40.000000,509.600000,4.296667,4.443333,196.870000,21474836.470000,186.426954,40.000000,520.600000,4.593333,40.000000,524.600000,4.613333,40.000000,517.600000,4.580000,40.000000,504.400000,4.303333,40.000000,515.600000,4.306667,40.000000,508.800000,4.280000,186.426954,-1.513410,-0.772934
10274,40.000000,512.866667,5.551111,40.000000,506.133333,5.241111,5.391667,196.870000,21474836.470000,186.838437,40.000000,517.600000,5.536667,40.000000,508.200000,5.550000,40.000000,512.800000,5.566667,40.000000,504.600000,5.236667,40.000000,511.600000,5.240000,40.000000,502.200000,5.246667,186.838437,-1.397102,-0.078768
10385,40.000000,522.333333,6.507778,40.000000,523.266667,6.190000,6.343333,196.870000,21474836.470000,187.197987,40.000000,541.400000,6.496667,40.000000,511.200000,6.506667,40.000000,514.400000,6.520000,40.000000,532.000000,6.190000,40.000000,517.000000,6.190000,40.000000,520.800000,6.190000,187.197987,-0.950682,0.415992
10497,40.000000,462.933333,7.436667,40.000000,459.066667,7.124444,7.285000,196.870000,21474836.470000,186.838883,40.000000,463.000000,7.430000,40.000000,463.000000,7.440000,40.000000,462.800000,7.440000,40.000000,478.400000,7.126667,40.000000,457.400000,7.140000,40.000000,441.400000,7.106667,186.838883,-0.478802,0.369604
10605,40.000000,390.333333,8.235556,40.000000,406.666667,7.930000,8.085000,196.960000,21474836.470000,186.323671,40.000000,399.000000,8.230000,40.000000,383.600000,8.243333,40.000000,388.400000,8.233333,40.000000,408.200000,7.940000,40.000000,398.400000,7.933333,40.000000,413.400000,7.916667,186.323671,-0.450041,1.686379
